"Header","Activities","Periods","Labour","Output","ValueAdded","Label","Labour_Growth","Output_Growth","ValueAdded_Growth"
"Environmental domains, total","Education about the environment",2001,0.6,62,50,"Education about the  [...]",NA,NA,NA
"Environmental domains, total","Education about the environment",2002,0.6,61,49,"Education about the  [...]",1,0.983870967741935,0.98
"Environmental domains, total","Education about the environment",2003,0.6,60,49,"Education about the  [...]",1,0.983606557377049,1
"Environmental domains, total","Education about the environment",2004,0.5,58,46,"Education about the  [...]",0.833333333333333,0.966666666666667,0.938775510204082
"Environmental domains, total","Education about the environment",2005,0.5,55,43,"Education about the  [...]",1,0.948275862068966,0.934782608695652
"Environmental domains, total","Education about the environment",2006,0.4,52,40,"Education about the  [...]",0.8,0.945454545454545,0.930232558139535
"Environmental domains, total","Education about the environment",2007,0.4,52,40,"Education about the  [...]",1,1,1
"Environmental domains, total","Education about the environment",2008,0.4,55,42,"Education about the  [...]",1,1.05769230769231,1.05
"Environmental domains, total","Education about the environment",2009,0.4,57,44,"Education about the  [...]",1,1.03636363636364,1.04761904761905
"Environmental domains, total","Education about the environment",2010,0.4,61,47,"Education about the  [...]",1,1.07017543859649,1.06818181818182
"Environmental domains, total","Education about the environment",2011,0.4,63,49,"Education about the  [...]",1,1.0327868852459,1.04255319148936
"Environmental domains, total","Education about the environment",2012,0.5,66,52,"Education about the  [...]",1.25,1.04761904761905,1.06122448979592
"Environmental domains, total","Education about the environment",2013,0.5,70,55,"Education about the  [...]",1,1.06060606060606,1.05769230769231
"Environmental domains, total","Education about the environment",2014,0.5,74,58,"Education about the  [...]",1,1.05714285714286,1.05454545454545
"Environmental domains, total","Education about the environment",2015,0.5,79,62,"Education about the  [...]",1,1.06756756756757,1.06896551724138
"Environmental domains, total","Energy systems and energy conservation",2001,12.9,3317,1158,"Energy systems and e [...]",NA,NA,NA
"Environmental domains, total","Energy systems and energy conservation",2002,13.7,3595,1254,"Energy systems and e [...]",1.06201550387597,1.08381067229424,1.08290155440415
"Environmental domains, total","Energy systems and energy conservation",2003,13.4,3697,1253,"Energy systems and e [...]",0.978102189781022,1.02837273991655,0.999202551834131
"Environmental domains, total","Energy systems and energy conservation",2004,13.5,3462,1241,"Energy systems and e [...]",1.00746268656716,0.936434947254531,0.990422984836393
"Environmental domains, total","Energy systems and energy conservation",2005,13.2,3413,1220,"Energy systems and e [...]",0.977777777777778,0.985846331600231,0.983078162771958
"Environmental domains, total","Energy systems and energy conservation",2006,13.1,3515,1184,"Energy systems and e [...]",0.992424242424242,1.02988573102842,0.970491803278689
"Environmental domains, total","Energy systems and energy conservation",2007,14.2,3993,1304,"Energy systems and e [...]",1.08396946564885,1.13598862019915,1.10135135135135
"Environmental domains, total","Energy systems and energy conservation",2008,16,4762,1524,"Energy systems and e [...]",1.12676056338028,1.19258702729777,1.16871165644172
"Environmental domains, total","Energy systems and energy conservation",2009,16.6,4395,1476,"Energy systems and e [...]",1.0375,0.922931541369173,0.968503937007874
"Environmental domains, total","Energy systems and energy conservation",2010,17.5,4512,1588,"Energy systems and e [...]",1.05421686746988,1.02662116040956,1.07588075880759
"Environmental domains, total","Energy systems and energy conservation",2011,18.6,5042,1652,"Energy systems and e [...]",1.06285714285714,1.11746453900709,1.04030226700252
"Environmental domains, total","Energy systems and energy conservation",2012,19.6,5382,1731,"Energy systems and e [...]",1.05376344086022,1.06743355811186,1.04782082324455
"Environmental domains, total","Energy systems and energy conservation",2013,21.8,5973,1949,"Energy systems and e [...]",1.11224489795918,1.1098104793757,1.12593876372039
"Environmental domains, total","Energy systems and energy conservation",2014,21.7,6399,2110,"Energy systems and e [...]",0.995412844036697,1.07132094424912,1.08260646485377
"Environmental domains, total","Energy systems and energy conservation",2015,23.8,7291,2498,"Energy systems and e [...]",1.09677419354839,1.13939678074699,1.18388625592417
"Environmental domains, total","Environmental consultancy, engineering",2001,8.8,955,496,"Environmental consul [...]",NA,NA,NA
"Environmental domains, total","Environmental consultancy, engineering",2002,9.5,1068,548,"Environmental consul [...]",1.07954545454545,1.11832460732984,1.10483870967742
"Environmental domains, total","Environmental consultancy, engineering",2003,8.7,996,514,"Environmental consul [...]",0.91578947368421,0.932584269662921,0.937956204379562
"Environmental domains, total","Environmental consultancy, engineering",2004,9.4,1096,563,"Environmental consul [...]",1.08045977011494,1.1004016064257,1.09533073929961
"Environmental domains, total","Environmental consultancy, engineering",2005,9,1057,545,"Environmental consul [...]",0.957446808510638,0.964416058394161,0.968028419182948
"Environmental domains, total","Environmental consultancy, engineering",2006,10,1204,627,"Environmental consul [...]",1.11111111111111,1.13907284768212,1.15045871559633
"Environmental domains, total","Environmental consultancy, engineering",2007,10.1,1262,671,"Environmental consul [...]",1.01,1.04817275747508,1.07017543859649
"Environmental domains, total","Environmental consultancy, engineering",2008,10.9,1433,804,"Environmental consul [...]",1.07920792079208,1.13549920760697,1.19821162444113
"Environmental domains, total","Environmental consultancy, engineering",2009,10.3,1280,708,"Environmental consul [...]",0.944954128440367,0.893230983949756,0.880597014925373
"Environmental domains, total","Environmental consultancy, engineering",2010,10.9,1513,823,"Environmental consul [...]",1.05825242718447,1.18203125,1.16242937853107
"Environmental domains, total","Environmental consultancy, engineering",2011,10.5,1430,780,"Environmental consul [...]",0.963302752293578,0.945142101784534,0.94775212636695
"Environmental domains, total","Environmental consultancy, engineering",2012,10.2,1434,742,"Environmental consul [...]",0.971428571428571,1.0027972027972,0.951282051282051
"Environmental domains, total","Environmental consultancy, engineering",2013,10,1406,751,"Environmental consul [...]",0.980392156862745,0.98047419804742,1.01212938005391
"Environmental domains, total","Environmental consultancy, engineering",2014,9.7,1426,760,"Environmental consul [...]",0.97,1.01422475106686,1.01198402130493
"Environmental domains, total","Environmental consultancy, engineering",2015,9.7,1430,761,"Environmental consul [...]",1,1.00280504908836,1.00131578947368
"Environmental domains, total","Environmental engineering activities.",2001,2.5,368,102,"Environmental engine [...]",NA,NA,NA
"Environmental domains, total","Environmental engineering activities.",2002,2.5,389,106,"Environmental engine [...]",1,1.0570652173913,1.03921568627451
"Environmental domains, total","Environmental engineering activities.",2003,3,564,153,"Environmental engine [...]",1.2,1.44987146529563,1.44339622641509
"Environmental domains, total","Environmental engineering activities.",2004,2.7,622,165,"Environmental engine [...]",0.9,1.10283687943262,1.07843137254902
"Environmental domains, total","Environmental engineering activities.",2005,2.6,597,155,"Environmental engine [...]",0.962962962962963,0.959807073954984,0.939393939393939
"Environmental domains, total","Environmental engineering activities.",2006,2.7,802,182,"Environmental engine [...]",1.03846153846154,1.34338358458961,1.1741935483871
"Environmental domains, total","Environmental engineering activities.",2007,2.7,788,175,"Environmental engine [...]",1,0.982543640897756,0.961538461538462
"Environmental domains, total","Environmental engineering activities.",2008,2.6,814,175,"Environmental engine [...]",0.962962962962963,1.03299492385787,1
"Environmental domains, total","Environmental engineering activities.",2009,2.6,800,176,"Environmental engine [...]",1,0.982800982800983,1.00571428571429
"Environmental domains, total","Environmental engineering activities.",2010,2.7,681,143,"Environmental engine [...]",1.03846153846154,0.85125,0.8125
"Environmental domains, total","Environmental engineering activities.",2011,2.6,705,151,"Environmental engine [...]",0.962962962962963,1.0352422907489,1.05594405594406
"Environmental domains, total","Environmental engineering activities.",2012,2,579,128,"Environmental engine [...]",0.769230769230769,0.821276595744681,0.847682119205298
"Environmental domains, total","Environmental engineering activities.",2013,2.2,662,167,"Environmental engine [...]",1.1,1.1433506044905,1.3046875
"Environmental domains, total","Environmental engineering activities.",2014,2.1,779,179,"Environmental engine [...]",0.954545454545454,1.17673716012085,1.07185628742515
"Environmental domains, total","Environmental engineering activities.",2015,2,592,132,"Environmental engine [...]",0.952380952380952,0.7599486521181,0.737430167597765
"Environmental domains, total","Environmental inspection, certification",2001,0.8,92,50,"Environmental inspec [...]",NA,NA,NA
"Environmental domains, total","Environmental inspection, certification",2002,0.9,111,62,"Environmental inspec [...]",1.125,1.20652173913043,1.24
"Environmental domains, total","Environmental inspection, certification",2003,1.2,148,84,"Environmental inspec [...]",1.33333333333333,1.33333333333333,1.35483870967742
"Environmental domains, total","Environmental inspection, certification",2004,1.2,165,94,"Environmental inspec [...]",1,1.11486486486486,1.11904761904762
"Environmental domains, total","Environmental inspection, certification",2005,1.4,194,113,"Environmental inspec [...]",1.16666666666667,1.17575757575758,1.20212765957447
"Environmental domains, total","Environmental inspection, certification",2006,1.3,194,113,"Environmental inspec [...]",0.928571428571429,1,1
"Environmental domains, total","Environmental inspection, certification",2007,1.4,209,123,"Environmental inspec [...]",1.07692307692308,1.07731958762887,1.08849557522124
"Environmental domains, total","Environmental inspection, certification",2008,1.7,236,139,"Environmental inspec [...]",1.21428571428571,1.12918660287081,1.13008130081301
"Environmental domains, total","Environmental inspection, certification",2009,2.2,314,183,"Environmental inspec [...]",1.29411764705882,1.33050847457627,1.31654676258993
"Environmental domains, total","Environmental inspection, certification",2010,2.2,314,181,"Environmental inspec [...]",1,1,0.989071038251366
"Environmental domains, total","Environmental inspection, certification",2011,2.3,316,178,"Environmental inspec [...]",1.04545454545455,1.00636942675159,0.983425414364641
"Environmental domains, total","Environmental inspection, certification",2012,2.5,331,192,"Environmental inspec [...]",1.08695652173913,1.04746835443038,1.07865168539326
"Environmental domains, total","Environmental inspection, certification",2013,2,288,167,"Environmental inspec [...]",0.8,0.870090634441088,0.869791666666667
"Environmental domains, total","Environmental inspection, certification",2014,2.1,269,156,"Environmental inspec [...]",1.05,0.934027777777778,0.934131736526946
"Environmental domains, total","Environmental inspection, certification",2015,2.4,318,184,"Environmental inspec [...]",1.14285714285714,1.182156133829,1.17948717948718
"Environmental domains, total","Ideological environmental organisations",2001,2.5,182,110,"Ideological environm [...]",NA,NA,NA
"Environmental domains, total","Ideological environmental organisations",2002,2.2,173,104,"Ideological environm [...]",0.88,0.950549450549451,0.945454545454545
"Environmental domains, total","Ideological environmental organisations",2003,2.5,206,123,"Ideological environm [...]",1.13636363636364,1.19075144508671,1.18269230769231
"Environmental domains, total","Ideological environmental organisations",2004,2.6,229,133,"Ideological environm [...]",1.04,1.11165048543689,1.08130081300813
"Environmental domains, total","Ideological environmental organisations",2005,2.7,249,142,"Ideological environm [...]",1.03846153846154,1.08733624454148,1.06766917293233
"Environmental domains, total","Ideological environmental organisations",2006,2.4,236,133,"Ideological environm [...]",0.888888888888889,0.947791164658635,0.936619718309859
"Environmental domains, total","Ideological environmental organisations",2007,2.4,238,134,"Ideological environm [...]",1,1.00847457627119,1.00751879699248
"Environmental domains, total","Ideological environmental organisations",2008,3,303,166,"Ideological environm [...]",1.25,1.27310924369748,1.23880597014925
"Environmental domains, total","Ideological environmental organisations",2009,3,313,177,"Ideological environm [...]",1,1.03300330033003,1.06626506024096
"Environmental domains, total","Ideological environmental organisations",2010,2.8,287,166,"Ideological environm [...]",0.933333333333333,0.916932907348243,0.937853107344633
"Environmental domains, total","Ideological environmental organisations",2011,2.6,277,163,"Ideological environm [...]",0.928571428571429,0.965156794425087,0.981927710843373
"Environmental domains, total","Ideological environmental organisations",2012,2.6,291,171,"Ideological environm [...]",1,1.05054151624549,1.04907975460123
"Environmental domains, total","Ideological environmental organisations",2013,2.5,302,174,"Ideological environm [...]",0.961538461538461,1.03780068728522,1.01754385964912
"Environmental domains, total","Ideological environmental organisations",2014,2.5,312,180,"Ideological environm [...]",1,1.03311258278146,1.03448275862069
"Environmental domains, total","Ideological environmental organisations",2015,2.5,333,194,"Ideological environm [...]",1,1.06730769230769,1.07777777777778
"Environmental domains, total","Insulation activities constr. industry",2001,20.9,1836,850,"Insulation activitie [...]",NA,NA,NA
"Environmental domains, total","Insulation activities constr. industry",2002,19.3,1752,828,"Insulation activitie [...]",0.923444976076555,0.954248366013072,0.974117647058824
"Environmental domains, total","Insulation activities constr. industry",2003,15.8,1478,706,"Insulation activitie [...]",0.818652849740933,0.843607305936073,0.852657004830918
"Environmental domains, total","Insulation activities constr. industry",2004,13.3,1246,590,"Insulation activitie [...]",0.841772151898734,0.843031123139378,0.835694050991501
"Environmental domains, total","Insulation activities constr. industry",2005,12.5,1219,577,"Insulation activitie [...]",0.93984962406015,0.978330658105939,0.977966101694915
"Environmental domains, total","Insulation activities constr. industry",2006,14.7,1509,707,"Insulation activitie [...]",1.176,1.23789991796555,1.22530329289428
"Environmental domains, total","Insulation activities constr. industry",2007,15.9,1770,823,"Insulation activitie [...]",1.08163265306122,1.17296222664016,1.16407355021216
"Environmental domains, total","Insulation activities constr. industry",2008,15.9,1922,894,"Insulation activitie [...]",1,1.08587570621469,1.08626974483597
"Environmental domains, total","Insulation activities constr. industry",2009,16.1,1898,902,"Insulation activitie [...]",1.0125786163522,0.987513007284079,1.0089485458613
"Environmental domains, total","Insulation activities constr. industry",2010,16.8,1902,867,"Insulation activitie [...]",1.04347826086957,1.00210748155954,0.96119733924612
"Environmental domains, total","Insulation activities constr. industry",2011,20.2,2311,1028,"Insulation activitie [...]",1.20238095238095,1.21503680336488,1.18569780853518
"Environmental domains, total","Insulation activities constr. industry",2012,17.5,2120,926,"Insulation activitie [...]",0.866336633663366,0.917351795759412,0.900778210116732
"Environmental domains, total","Insulation activities constr. industry",2013,18,2219,977,"Insulation activitie [...]",1.02857142857143,1.04669811320755,1.05507559395248
"Environmental domains, total","Insulation activities constr. industry",2014,19.2,2442,1128,"Insulation activitie [...]",1.06666666666667,1.10049571879225,1.15455475946776
"Environmental domains, total","Insulation activities constr. industry",2015,19.4,2614,1232,"Insulation activitie [...]",1.01041666666667,1.07043407043407,1.09219858156028
"Environmental domains, total","Organic agriculture",2001,2,296,113,"Organic agriculture [...]",NA,NA,NA
"Environmental domains, total","Organic agriculture",2002,2,308,110,"Organic agriculture [...]",1,1.04054054054054,0.973451327433628
"Environmental domains, total","Organic agriculture",2003,2.1,308,110,"Organic agriculture [...]",1.05,1,1
"Environmental domains, total","Organic agriculture",2004,2,308,102,"Organic agriculture [...]",0.952380952380952,1,0.927272727272727
"Environmental domains, total","Organic agriculture",2005,2,318,109,"Organic agriculture [...]",1,1.03246753246753,1.06862745098039
"Environmental domains, total","Organic agriculture",2006,1.9,352,125,"Organic agriculture [...]",0.95,1.10691823899371,1.14678899082569
"Environmental domains, total","Organic agriculture",2007,1.9,371,117,"Organic agriculture [...]",1,1.05397727272727,0.936
"Environmental domains, total","Organic agriculture",2008,2,405,113,"Organic agriculture [...]",1.05263157894737,1.09164420485175,0.965811965811966
"Environmental domains, total","Organic agriculture",2009,2.1,385,102,"Organic agriculture [...]",1.05,0.950617283950617,0.902654867256637
"Environmental domains, total","Organic agriculture",2010,2.3,477,146,"Organic agriculture [...]",1.0952380952381,1.23896103896104,1.43137254901961
"Environmental domains, total","Organic agriculture",2011,2.7,501,124,"Organic agriculture [...]",1.17391304347826,1.05031446540881,0.849315068493151
"Environmental domains, total","Organic agriculture",2012,2.8,545,135,"Organic agriculture [...]",1.03703703703704,1.08782435129741,1.08870967741935
"Environmental domains, total","Organic agriculture",2013,2.9,597,166,"Organic agriculture [...]",1.03571428571429,1.0954128440367,1.22962962962963
"Environmental domains, total","Organic agriculture",2014,2.9,573,168,"Organic agriculture [...]",1,0.959798994974874,1.01204819277108
"Environmental domains, total","Organic agriculture",2015,3,565,162,"Organic agriculture [...]",1.03448275862069,0.986038394415358,0.964285714285714
"Environmental domains, total","Other governmental activities",2001,25.8,3269,1937,"Other governmental a [...]",NA,NA,NA
"Environmental domains, total","Other governmental activities",2002,26.7,3491,2047,"Other governmental a [...]",1.03488372093023,1.06791067604772,1.05678884873516
"Environmental domains, total","Other governmental activities",2003,28.5,3743,2227,"Other governmental a [...]",1.06741573033708,1.07218562016614,1.08793356130923
"Environmental domains, total","Other governmental activities",2004,27.8,3835,2296,"Other governmental a [...]",0.975438596491228,1.0245792145338,1.0309833857207
"Environmental domains, total","Other governmental activities",2005,26.3,3890,2316,"Other governmental a [...]",0.946043165467626,1.01434159061278,1.00871080139373
"Environmental domains, total","Other governmental activities",2006,29.9,4318,2546,"Other governmental a [...]",1.13688212927757,1.11002570694087,1.0993091537133
"Environmental domains, total","Other governmental activities",2007,29.6,4587,2722,"Other governmental a [...]",0.989966555183947,1.06229735988884,1.06912804399057
"Environmental domains, total","Other governmental activities",2008,27.6,4683,2829,"Other governmental a [...]",0.932432432432432,1.02092871157619,1.03930933137399
"Environmental domains, total","Other governmental activities",2009,29.8,5049,3008,"Other governmental a [...]",1.07971014492754,1.07815502882767,1.06327324142807
"Environmental domains, total","Other governmental activities",2010,28.6,5001,3054,"Other governmental a [...]",0.959731543624161,0.990493166963755,1.01529255319149
"Environmental domains, total","Other governmental activities",2011,27.8,4949,3160,"Other governmental a [...]",0.972027972027972,0.989602079584083,1.0347085789129
"Environmental domains, total","Other governmental activities",2012,26.7,4944,3249,"Other governmental a [...]",0.960431654676259,0.998989694887856,1.02816455696203
"Environmental domains, total","Other governmental activities",2013,27.3,5289,3373,"Other governmental a [...]",1.02247191011236,1.06978155339806,1.03816558941213
"Environmental domains, total","Other governmental activities",2014,25.7,5290,3388,"Other governmental a [...]",0.941391941391941,1.00018907165816,1.00444707975096
"Environmental domains, total","Other governmental activities",2015,25.5,5045,3459,"Other governmental a [...]",0.992217898832685,0.953686200378072,1.02095631641086
