"Header","Activities","Periods","Labour","Output","ValueAdded","Label","Labour_Growth","Output_Growth","ValueAdded_Growth"
"Environmental domains, total","Preparation for recycling",2001,2.8,853,263,"Preparation for recy [...]",NA,NA,NA
"Environmental domains, total","Preparation for recycling",2002,3,926,289,"Preparation for recy [...]",1.07142857142857,1.08558030480657,1.09885931558935
"Environmental domains, total","Preparation for recycling",2003,3.1,1011,343,"Preparation for recy [...]",1.03333333333333,1.09179265658747,1.18685121107266
"Environmental domains, total","Preparation for recycling",2004,3,1177,398,"Preparation for recy [...]",0.967741935483871,1.16419386745796,1.16034985422741
"Environmental domains, total","Preparation for recycling",2005,3,1279,416,"Preparation for recy [...]",1,1.08666100254885,1.04522613065327
"Environmental domains, total","Preparation for recycling",2006,2.9,1482,520,"Preparation for recy [...]",0.966666666666667,1.15871774824081,1.25
"Environmental domains, total","Preparation for recycling",2007,2.9,1556,504,"Preparation for recy [...]",1,1.04993252361673,0.969230769230769
"Environmental domains, total","Preparation for recycling",2008,3,1720,508,"Preparation for recy [...]",1.03448275862069,1.10539845758355,1.00793650793651
"Environmental domains, total","Preparation for recycling",2009,3.1,1525,430,"Preparation for recy [...]",1.03333333333333,0.886627906976744,0.846456692913386
"Environmental domains, total","Preparation for recycling",2010,3.2,1873,497,"Preparation for recy [...]",1.03225806451613,1.22819672131148,1.15581395348837
"Environmental domains, total","Preparation for recycling",2011,3.6,2333,627,"Preparation for recy [...]",1.125,1.2455953016551,1.26156941649899
"Environmental domains, total","Preparation for recycling",2012,3.9,2389,658,"Preparation for recy [...]",1.08333333333333,1.02400342906129,1.04944178628389
"Environmental domains, total","Preparation for recycling",2013,4,2212,601,"Preparation for recy [...]",1.02564102564103,0.925910422771034,0.913373860182371
"Environmental domains, total","Preparation for recycling",2014,4,2191,642,"Preparation for recy [...]",1,0.990506329113924,1.06821963394343
"Environmental domains, total","Preparation for recycling",2015,4,2289,666,"Preparation for recy [...]",1,1.04472843450479,1.03738317757009
"Environmental domains, total","Production of industrial envir equipment",2001,5.4,1288,383,"Production of indust [...]",NA,NA,NA
"Environmental domains, total","Production of industrial envir equipment",2002,5.7,1436,397,"Production of indust [...]",1.05555555555556,1.11490683229814,1.03655352480418
"Environmental domains, total","Production of industrial envir equipment",2003,5.6,1432,393,"Production of indust [...]",0.982456140350877,0.997214484679666,0.98992443324937
"Environmental domains, total","Production of industrial envir equipment",2004,5.1,1337,355,"Production of indust [...]",0.910714285714286,0.933659217877095,0.903307888040712
"Environmental domains, total","Production of industrial envir equipment",2005,5.6,1545,385,"Production of indust [...]",1.09803921568627,1.15557217651458,1.08450704225352
"Environmental domains, total","Production of industrial envir equipment",2006,5.8,1579,418,"Production of indust [...]",1.03571428571429,1.02200647249191,1.08571428571429
"Environmental domains, total","Production of industrial envir equipment",2007,5.8,1625,419,"Production of indust [...]",1,1.02913236225459,1.00239234449761
"Environmental domains, total","Production of industrial envir equipment",2008,5.9,1674,393,"Production of indust [...]",1.01724137931034,1.03015384615385,0.937947494033413
"Environmental domains, total","Production of industrial envir equipment",2009,5.8,1316,420,"Production of indust [...]",0.983050847457627,0.786140979689367,1.06870229007634
"Environmental domains, total","Production of industrial envir equipment",2010,5.9,1408,467,"Production of indust [...]",1.01724137931034,1.06990881458967,1.11190476190476
"Environmental domains, total","Production of industrial envir equipment",2011,6.1,1629,494,"Production of indust [...]",1.03389830508475,1.15696022727273,1.05781584582441
"Environmental domains, total","Production of industrial envir equipment",2012,5.8,1588,445,"Production of indust [...]",0.950819672131148,0.974831184775936,0.90080971659919
"Environmental domains, total","Production of industrial envir equipment",2013,5.8,1614,462,"Production of indust [...]",1,1.01637279596977,1.03820224719101
"Environmental domains, total","Production of industrial envir equipment",2014,5.7,1678,495,"Production of indust [...]",0.982758620689655,1.03965303593556,1.07142857142857
"Environmental domains, total","Production of industrial envir equipment",2015,5.7,1729,500,"Production of indust [...]",1,1.03039332538737,1.01010101010101
"Environmental domains, total","Production of renewable energy",2001,0.8,156,107,"Production of renewa [...]",NA,NA,NA
"Environmental domains, total","Production of renewable energy",2002,0.9,193,135,"Production of renewa [...]",1.125,1.23717948717949,1.26168224299065
"Environmental domains, total","Production of renewable energy",2003,0.9,239,165,"Production of renewa [...]",1,1.23834196891192,1.22222222222222
"Environmental domains, total","Production of renewable energy",2004,1,476,364,"Production of renewa [...]",1.11111111111111,1.99163179916318,2.20606060606061
"Environmental domains, total","Production of renewable energy",2005,1.2,906,740,"Production of renewa [...]",1.2,1.90336134453782,2.03296703296703
"Environmental domains, total","Production of renewable energy",2006,1.3,1015,823,"Production of renewa [...]",1.08333333333333,1.12030905077263,1.11216216216216
"Environmental domains, total","Production of renewable energy",2007,1.5,1035,780,"Production of renewa [...]",1.15384615384615,1.01970443349754,0.94775212636695
"Environmental domains, total","Production of renewable energy",2008,1.8,1389,1077,"Production of renewa [...]",1.2,1.34202898550725,1.38076923076923
"Environmental domains, total","Production of renewable energy",2009,2.1,1696,1226,"Production of renewa [...]",1.16666666666667,1.22102231821454,1.13834726090993
"Environmental domains, total","Production of renewable energy",2010,2.2,1778,1113,"Production of renewa [...]",1.04761904761905,1.04834905660377,0.907830342577488
"Environmental domains, total","Production of renewable energy",2011,2.3,2235,1278,"Production of renewa [...]",1.04545454545455,1.2570303712036,1.14824797843666
"Environmental domains, total","Production of renewable energy",2012,2.5,3087,1316,"Production of renewa [...]",1.08695652173913,1.38120805369128,1.02973395931142
"Environmental domains, total","Production of renewable energy",2013,2.6,3062,1387,"Production of renewa [...]",1.04,0.991901522513767,1.05395136778115
"Environmental domains, total","Production of renewable energy",2014,2.6,3287,1629,"Production of renewa [...]",1,1.07348138471587,1.17447728911319
"Environmental domains, total","Production of renewable energy",2015,2.8,3316,1770,"Production of renewa [...]",1.07692307692308,1.00882263462124,1.0865561694291
"Environmental domains, total","Second-hand shops (not antiques)",2001,1.2,91,46,"Second-hand shops (n [...]",NA,NA,NA
"Environmental domains, total","Second-hand shops (not antiques)",2002,1.4,117,54,"Second-hand shops (n [...]",1.16666666666667,1.28571428571429,1.17391304347826
"Environmental domains, total","Second-hand shops (not antiques)",2003,1.7,125,59,"Second-hand shops (n [...]",1.21428571428571,1.06837606837607,1.09259259259259
"Environmental domains, total","Second-hand shops (not antiques)",2004,1.4,122,55,"Second-hand shops (n [...]",0.823529411764706,0.976,0.932203389830508
"Environmental domains, total","Second-hand shops (not antiques)",2005,1.7,121,62,"Second-hand shops (n [...]",1.21428571428571,0.991803278688525,1.12727272727273
"Environmental domains, total","Second-hand shops (not antiques)",2006,1.4,100,51,"Second-hand shops (n [...]",0.823529411764706,0.826446280991736,0.82258064516129
"Environmental domains, total","Second-hand shops (not antiques)",2007,1.3,97,53,"Second-hand shops (n [...]",0.928571428571429,0.97,1.03921568627451
"Environmental domains, total","Second-hand shops (not antiques)",2008,1.6,112,55,"Second-hand shops (n [...]",1.23076923076923,1.15463917525773,1.0377358490566
"Environmental domains, total","Second-hand shops (not antiques)",2009,1.9,118,59,"Second-hand shops (n [...]",1.1875,1.05357142857143,1.07272727272727
"Environmental domains, total","Second-hand shops (not antiques)",2010,1.9,148,71,"Second-hand shops (n [...]",1,1.25423728813559,1.20338983050847
"Environmental domains, total","Second-hand shops (not antiques)",2011,2,180,85,"Second-hand shops (n [...]",1.05263157894737,1.21621621621622,1.19718309859155
"Environmental domains, total","Second-hand shops (not antiques)",2012,1.9,170,95,"Second-hand shops (n [...]",0.95,0.944444444444444,1.11764705882353
"Environmental domains, total","Second-hand shops (not antiques)",2013,2,167,93,"Second-hand shops (n [...]",1.05263157894737,0.982352941176471,0.978947368421053
"Environmental domains, total","Second-hand shops (not antiques)",2014,2.1,165,95,"Second-hand shops (n [...]",1.05,0.988023952095808,1.02150537634409
"Environmental domains, total","Second-hand shops (not antiques)",2015,1.9,180,92,"Second-hand shops (n [...]",0.904761904761905,1.09090909090909,0.968421052631579
"Environmental domains, total","Specialised producers of env. services",2001,21.4,4141,1544,"Specialised producer [...]",NA,NA,NA
"Environmental domains, total","Specialised producers of env. services",2002,22.2,4418,1650,"Specialised producer [...]",1.03738317757009,1.06689205505916,1.06865284974093
"Environmental domains, total","Specialised producers of env. services",2003,23,4643,1773,"Specialised producer [...]",1.03603603603604,1.05092802172929,1.07454545454545
"Environmental domains, total","Specialised producers of env. services",2004,22.2,4616,1706,"Specialised producer [...]",0.965217391304348,0.994184794314021,0.962210941906373
"Environmental domains, total","Specialised producers of env. services",2005,22,4495,1684,"Specialised producer [...]",0.990990990990991,0.973786828422877,0.987104337631887
"Environmental domains, total","Specialised producers of env. services",2006,21.6,4657,1801,"Specialised producer [...]",0.981818181818182,1.03604004449388,1.06947743467933
"Environmental domains, total","Specialised producers of env. services",2007,21.9,4932,1983,"Specialised producer [...]",1.01388888888889,1.05905089113163,1.10105496946141
"Environmental domains, total","Specialised producers of env. services",2008,22.1,5511,2262,"Specialised producer [...]",1.00913242009132,1.11739659367397,1.14069591527988
"Environmental domains, total","Specialised producers of env. services",2009,23,5425,2166,"Specialised producer [...]",1.04072398190045,0.984394846670296,0.957559681697613
"Environmental domains, total","Specialised producers of env. services",2010,22.8,5324,2067,"Specialised producer [...]",0.991304347826087,0.981382488479263,0.954293628808864
"Environmental domains, total","Specialised producers of env. services",2011,22.8,5545,2082,"Specialised producer [...]",1,1.04151014274981,1.00725689404935
"Environmental domains, total","Specialised producers of env. services",2012,21.8,5249,1964,"Specialised producer [...]",0.956140350877193,0.946618575293057,0.943323727185399
"Environmental domains, total","Specialised producers of env. services",2013,21.6,5451,2024,"Specialised producer [...]",0.990825688073395,1.0384835206706,1.03054989816701
"Environmental domains, total","Specialised producers of env. services",2014,21.9,5585,2072,"Specialised producer [...]",1.01388888888889,1.02458264538617,1.02371541501976
"Environmental domains, total","Specialised producers of env. services",2015,21.8,5428,1976,"Specialised producer [...]",0.995433789954338,0.971888988361683,0.953667953667954
"Environmental domains, total","Total sector environment",2001,123.2,19730,9109,"Total sector environ [...]",NA,NA,NA
"Environmental domains, total","Total sector environment",2002,125.9,20979,9582,"Total sector environ [...]",1.02191558441558,1.06330461226559,1.05192666593479
"Environmental domains, total","Total sector environment",2003,125.5,21704,9884,"Total sector environ [...]",0.996822875297855,1.0345583678917,1.03151742851179
"Environmental domains, total","Total sector environment",2004,120.6,21993,10217,"Total sector environ [...]",0.960956175298805,1.01331551787689,1.03369081343586
"Environmental domains, total","Total sector environment",2005,118.6,22684,10734,"Total sector environ [...]",0.983416252072968,1.0314190878916,1.05060193794656
"Environmental domains, total","Total sector environment",2006,125.1,24655,11697,"Total sector environ [...]",1.05480607082631,1.08688943748898,1.08971492453885
"Environmental domains, total","Total sector environment",2007,127,26399,12424,"Total sector environ [...]",1.01518784972022,1.07073615899412,1.0621526887236
"Environmental domains, total","Total sector environment",2008,129.1,29044,13658,"Total sector environ [...]",1.01653543307087,1.10019318913595,1.09932388924662
"Environmental domains, total","Total sector environment",2009,133.9,28403,13476,"Total sector environ [...]",1.03718048024787,0.977930037184961,0.986674476497291
"Environmental domains, total","Total sector environment",2010,135.6,30060,14522,"Total sector environ [...]",1.01269604182226,1.05833890786185,1.07761947165331
"Environmental domains, total","Total sector environment",2011,139.7,32532,15318,"Total sector environ [...]",1.03023598820059,1.08223552894212,1.05481338658587
"Environmental domains, total","Total sector environment",2012,135.4,33347,15417,"Total sector environ [...]",0.969219756621332,1.02505225624001,1.00646298472385
"Environmental domains, total","Total sector environment",2013,138.4,33956,15496,"Total sector environ [...]",1.02215657311669,1.01826251236993,1.00512421353052
"Environmental domains, total","Total sector environment",2014,137.6,35049,16200,"Total sector environ [...]",0.994219653179191,1.0321887148074,1.04543107898813
"Environmental domains, total","Total sector environment",2015,140,35694,16737,"Total sector environ [...]",1.01744186046512,1.01840280749807,1.03314814814815
"Environmental domains, total","Water quality management",2001,6,902,482,"Water quality manage [...]",NA,NA,NA
"Environmental domains, total","Water quality management",2002,6.4,966,522,"Water quality manage [...]",1.06666666666667,1.0709534368071,1.08298755186722
"Environmental domains, total","Water quality management",2003,6.6,1068,534,"Water quality manage [...]",1.03125,1.1055900621118,1.02298850574713
"Environmental domains, total","Water quality management",2004,6.3,1097,558,"Water quality manage [...]",0.954545454545455,1.02715355805243,1.04494382022472
"Environmental domains, total","Water quality management",2005,6.4,1124,589,"Water quality manage [...]",1.01587301587302,1.02461257976299,1.05555555555556
"Environmental domains, total","Water quality management",2006,6.5,1214,634,"Water quality manage [...]",1.015625,1.08007117437722,1.07640067911715
"Environmental domains, total","Water quality management",2007,6.2,1314,676,"Water quality manage [...]",0.953846153846154,1.08237232289951,1.06624605678233
"Environmental domains, total","Water quality management",2008,5.8,1360,721,"Water quality manage [...]",0.935483870967742,1.03500761035008,1.06656804733728
"Environmental domains, total","Water quality management",2009,6.1,1452,747,"Water quality manage [...]",1.05172413793103,1.06764705882353,1.03606102635229
"Environmental domains, total","Water quality management",2010,5.9,1406,742,"Water quality manage [...]",0.967213114754098,0.96831955922865,0.99330655957162
"Environmental domains, total","Water quality management",2011,5.6,1412,726,"Water quality manage [...]",0.949152542372881,1.00426742532006,0.978436657681941
"Environmental domains, total","Water quality management",2012,5.6,1424,734,"Water quality manage [...]",1,1.00849858356941,1.01101928374656
"Environmental domains, total","Water quality management",2013,5.7,1432,741,"Water quality manage [...]",1.01785714285714,1.00561797752809,1.00953678474114
"Environmental domains, total","Water quality management",2014,5.5,1363,712,"Water quality manage [...]",0.964912280701754,0.951815642458101,0.960863697705803
"Environmental domains, total","Water quality management",2015,5.3,1279,649,"Water quality manage [...]",0.963636363636364,0.938371239911959,0.911516853932584
"Environmental domains, total","Water quantity man. by Water Authorities",2001,3.4,588,353,"Water quantity man.  [...]",NA,NA,NA
"Environmental domains, total","Water quantity man. by Water Authorities",2002,3.9,666,400,"Water quantity man.  [...]",1.14705882352941,1.13265306122449,1.13314447592068
"Environmental domains, total","Water quantity man. by Water Authorities",2003,4,772,443,"Water quantity man.  [...]",1.02564102564103,1.15915915915916,1.1075
"Environmental domains, total","Water quantity man. by Water Authorities",2004,3.8,780,454,"Water quantity man.  [...]",0.95,1.01036269430052,1.02483069977427
"Environmental domains, total","Water quantity man. by Water Authorities",2005,3.8,776,462,"Water quantity man.  [...]",1,0.994871794871795,1.01762114537445
"Environmental domains, total","Water quantity man. by Water Authorities",2006,3.7,792,461,"Water quantity man.  [...]",0.973684210526316,1.02061855670103,0.997835497835498
"Environmental domains, total","Water quantity man. by Water Authorities",2007,3.5,819,457,"Water quantity man.  [...]",0.945945945945946,1.03409090909091,0.991323210412148
"Environmental domains, total","Water quantity man. by Water Authorities",2008,3.5,865,476,"Water quantity man.  [...]",1,1.05616605616606,1.04157549234136
"Environmental domains, total","Water quantity man. by Water Authorities",2009,3.6,916,496,"Water quantity man.  [...]",1.02857142857143,1.05895953757225,1.04201680672269
"Environmental domains, total","Water quantity man. by Water Authorities",2010,3.9,991,554,"Water quantity man.  [...]",1.08333333333333,1.08187772925764,1.11693548387097
"Environmental domains, total","Water quantity man. by Water Authorities",2011,3.9,1072,597,"Water quantity man.  [...]",1,1.08173562058527,1.07761732851986
"Environmental domains, total","Water quantity man. by Water Authorities",2012,3.9,1112,623,"Water quantity man.  [...]",1,1.03731343283582,1.04355108877722
"Environmental domains, total","Water quantity man. by Water Authorities",2013,4,1138,654,"Water quantity man.  [...]",1.02564102564103,1.02338129496403,1.04975922953451
"Environmental domains, total","Water quantity man. by Water Authorities",2014,4.1,1176,692,"Water quantity man.  [...]",1.025,1.03339191564148,1.05810397553517
"Environmental domains, total","Water quantity man. by Water Authorities",2015,4.1,1251,759,"Water quantity man.  [...]",1,1.06377551020408,1.09682080924855
"Environmental domains, total","Wholesale trade in waste and scrap",2001,5.5,1334,1064,"Wholesale trade in w [...]",NA,NA,NA
"Environmental domains, total","Wholesale trade in waste and scrap",2002,5,1310,1026,"Wholesale trade in w [...]",0.909090909090909,0.982008995502249,0.964285714285714
"Environmental domains, total","Wholesale trade in waste and scrap",2003,4.9,1214,955,"Wholesale trade in w [...]",0.98,0.926717557251908,0.930799220272905
"Environmental domains, total","Wholesale trade in waste and scrap",2004,4.9,1367,1096,"Wholesale trade in w [...]",1,1.12602965403624,1.14764397905759
"Environmental domains, total","Wholesale trade in waste and scrap",2005,5,1446,1174,"Wholesale trade in w [...]",1.02040816326531,1.05779078273592,1.07116788321168
"Environmental domains, total","Wholesale trade in waste and scrap",2006,5.3,1636,1331,"Wholesale trade in w [...]",1.06,1.1313969571231,1.13373083475298
"Environmental domains, total","Wholesale trade in waste and scrap",2007,5.3,1753,1444,"Wholesale trade in w [...]",1,1.07151589242054,1.08489857250188
"Environmental domains, total","Wholesale trade in waste and scrap",2008,5.4,1801,1478,"Wholesale trade in w [...]",1.0188679245283,1.02738163148888,1.02354570637119
"Environmental domains, total","Wholesale trade in waste and scrap",2009,5.2,1464,1156,"Wholesale trade in w [...]",0.962962962962963,0.812881732370905,0.78213802435724
"Environmental domains, total","Wholesale trade in waste and scrap",2010,5.6,2384,1998,"Wholesale trade in w [...]",1.07692307692308,1.62841530054645,1.72837370242215
"Environmental domains, total","Wholesale trade in waste and scrap",2011,5.7,2531,2144,"Wholesale trade in w [...]",1.01785714285714,1.0616610738255,1.07307307307307
"Environmental domains, total","Wholesale trade in waste and scrap",2012,5.7,2636,2256,"Wholesale trade in w [...]",1,1.0414855788226,1.05223880597015
"Environmental domains, total","Wholesale trade in waste and scrap",2013,5.5,2075,1755,"Wholesale trade in w [...]",0.964912280701754,0.787177541729894,0.777925531914894
"Environmental domains, total","Wholesale trade in waste and scrap",2014,5.4,2040,1735,"Wholesale trade in w [...]",0.981818181818182,0.983132530120482,0.988603988603989
"Environmental domains, total","Wholesale trade in waste and scrap",2015,5.3,1956,1642,"Wholesale trade in w [...]",0.981481481481481,0.958823529411765,0.946397694524496
